nm_mun;ano;pop_total;pop_mulher;pop_mulher_per;pop_homem;pop_homem_per;cres_pop;cor_raca_pri;porte
Matias Olímpio (PI);2022;10.641;5.311;49,91%;5.330;50,09%;1,6%;parda;baixo
Miguel Alves (PI);2022;32.150;15.918;49,51%;16.232;50,49%;-0,4%;parda;baixo
Miguel Leão (PI);2022;1.318;659;50%;659;50%;5,2%;parda;baixo
Milton Brandão (PI);2022;6.542;3.195;48,84%;3.347;51,16%;-3,4%;parda;baixo
Monsenhor Gil (PI);2022;10.255;5.340;52,07%;4.915;47,93%;-0,8%;parda;baixo
Monsenhor Hipólito (PI);2022;7.577;3.791;50,03%;3.786;49,97%;2,5%;parda;baixo
Monte Alegre do Piauí (PI);2022;10.660;5.264;49,38%;5.396;50,62%;3%;parda;baixo
Morro Cabeça no Tempo (PI);2022;4.377;2.057;47%;2.320;53%;7,6%;parda;baixo
Morro do Chapéu do Piauí (PI);2022;6.425;3.162;49,21%;3.263;50,79%;-1,1%;parda;baixo
Murici dos Portelas (PI);2022;9.797;4.770;48,69%;5.027;51,31%;15,7%;parda;baixo
Nazaré do Piauí (PI);2022;6.665;3.312;49,69%;3.353;50,31%;-9%;parda;baixo
Nazária (PI);2022;10.262;5.117;49,86%;5.145;50,14%;27,2%;parda;baixo
Nossa Senhora de Nazaré (PI);2022;5.228;2.576;49,27%;2.652;50,73%;14,7%;parda;baixo
Nossa Senhora dos Remédios (PI);2022;8.525;4.252;49,88%;4.273;50,12%;3,9%;parda;baixo
Novo Oriente do Piauí (PI);2022;6.097;3.056;50,12%;3.041;49,88%;-6,2%;parda;baixo
Novo Santo Antônio (PI);2022;2.827;1.411;49,91%;1.416;50,09%;-13,3%;parda;baixo
Oeiras (PI);2022;38.161;19.743;51,74%;18.418;48,26%;7,1%;parda;baixo
Olho D'Água do Piauí (PI);2022;2.637;1.320;50,06%;1.317;49,94%;0,4%;parda;baixo
Padre Marcos (PI);2022;6.382;3.286;51,49%;3.096;48,51%;-4,1%;parda;baixo
Paes Landim (PI);2022;4.088;1.987;48,61%;2.101;51,39%;0,7%;parda;baixo
Pajeú do Piauí (PI);2022;3.000;1.448;48,27%;1.552;51,73%;-10,8%;parda;baixo
Palmeira do Piauí (PI);2022;4.952;2.372;47,9%;2.580;52,1%;-0,8%;parda;baixo
Palmeirais (PI);2022;13.264;6.703;50,54%;6.561;49,46%;-3,5%;parda;baixo
Paquetá (PI);2022;3.813;1.856;48,68%;1.957;51,32%;-8,1%;parda;baixo
Parnaguá (PI);2022;10.103;4.801;47,52%;5.302;52,48%;-1,7%;parda;baixo
Parnaíba (PI);2022;162.159;84.721;52,25%;77.438;47,75%;11,3%;parda;grande
Passagem Franca do Piauí (PI);2022;4.135;2.059;49,79%;2.076;50,21%;-9%;parda;baixo
Patos do Piauí (PI);2022;5.425;2.640;48,66%;2.785;51,34%;-11,1%;parda;baixo
Pau D'Arco do Piauí (PI);2022;3.880;1.881;48,48%;1.999;51,52%;3,3%;parda;baixo
Paulistana (PI);2022;21.055;10.932;51,92%;10.123;48,08%;6,4%;parda;baixo
Pavussu (PI);2022;3.628;1.700;46,86%;1.928;53,14%;-1%;parda;baixo
Pedro II (PI);2022;37.894;19.002;50,15%;18.892;49,85%;1,1%;parda;baixo
Pedro Laurentino (PI);2022;2.458;1.179;47,97%;1.279;52,03%;2,1%;parda;baixo
Nova Santa Rita (PI);2022;4.076;1.948;47,79%;2.128;52,21%;-2,7%;parda;baixo
Picos (PI);2022;83.090;43.269;52,07%;39.821;47,93%;13,2%;parda;médio
Pimenteiras (PI);2022;11.341;5.592;49,31%;5.749;50,69%;-3,3%;parda;baixo
Pio IX (PI);2022;17.613;8.862;50,32%;8.751;49,68%;-0,3%;parda;baixo
Piracuruca (PI);2022;28.846;14.654;50,8%;14.192;49,2%;4,7%;parda;baixo
Piripiri (PI);2022;65.538;33.698;51,42%;31.840;48,58%;6%;parda;médio
Porto (PI);2022;12.052;5.969;49,53%;6.083;50,47%;1,3%;parda;baixo
Porto Alegre do Piauí (PI);2022;2.364;1.143;48,35%;1.221;51,65%;-7,6%;parda;baixo
Prata do Piauí (PI);2022;3.042;1.503;49,41%;1.539;50,59%;-1,4%;parda;baixo
Queimada Nova (PI);2022;8.738;4.312;49,35%;4.426;50,65%;2,2%;branca;baixo
Redenção do Gurguéia (PI);2022;8.394;4.096;48,8%;4.298;51,2%;-0,1%;parda;baixo
Regeneração (PI);2022;17.133;8.794;51,33%;8.339;48,67%;-2,4%;parda;baixo
Riacho Frio (PI);2022;4.165;1.973;47,37%;2.192;52,63%;-1,8%;parda;baixo
Ribeira do Piauí (PI);2022;4.055;1.996;49,22%;2.059;50,78%;-4,9%;parda;baixo
Ribeiro Gonçalves (PI);2022;6.164;3.001;48,69%;3.163;51,31%;-9,9%;parda;baixo
Rio Grande do Piauí (PI);2022;5.801;2.893;49,87%;2.908;50,13%;-7,5%;parda;baixo
Santa Cruz do Piauí (PI);2022;5.831;2.949;50,57%;2.882;49,43%;-3,3%;parda;baixo
Santa Cruz dos Milagres (PI);2022;3.435;1.757;51,15%;1.678;48,85%;-9,5%;parda;baixo
Santa Filomena (PI);2022;6.087;2.956;48,56%;3.131;51,44%;-0,1%;parda;baixo
Santa Luz (PI);2022;5.336;2.595;48,63%;2.741;51,37%;-3,2%;parda;baixo
Santana do Piauí (PI);2022;4.125;2.100;50,91%;2.025;49,09%;-16,1%;parda;baixo
Santa Rosa do Piauí (PI);2022;4.650;2.368;50,92%;2.282;49,08%;-9,7%;parda;baixo
Santo Antônio de Lisboa (PI);2022;5.839;2.943;50,4%;2.896;49,6%;-2,8%;parda;baixo
Santo Antônio dos Milagres (PI);2022;2.138;1.082;50,61%;1.056;49,39%;3,8%;parda;baixo
Santo Inácio do Piauí (PI);2022;3.646;1.808;49,59%;1.838;50,41%;-0,1%;parda;baixo
São Braz do Piauí (PI);2022;4.358;2.112;48,46%;2.246;51,54%;1%;parda;baixo
São Félix do Piauí (PI);2022;2.842;1.425;50,14%;1.417;49,86%;-7,4%;parda;baixo
São Francisco de Assis do Piauí (PI);2022;5.572;2.732;49,03%;2.840;50,97%;0,1%;branca;baixo
São Francisco do Piauí (PI);2022;5.392;2.730;50,63%;2.662;49,37%;-14,4%;parda;baixo
São Gonçalo do Gurguéia (PI);2022;2.947;1.425;48,35%;1.522;51,65%;4,3%;parda;baixo
São Gonçalo do Piauí (PI);2022;4.837;2.421;50,05%;2.416;49,95%;1,7%;parda;baixo
São João da Canabrava (PI);2022;4.242;2.154;50,78%;2.088;49,22%;-4,6%;parda;baixo
São João da Fronteira (PI);2022;5.522;2.799;50,69%;2.723;49,31%;-1,5%;parda;baixo
São João da Serra (PI);2022;6.114;3.082;50,41%;3.032;49,59%;-0,7%;parda;baixo
São João da Varjota (PI);2022;4.383;2.235;50,99%;2.148;49,01%;-5,8%;parda;baixo
São João do Arraial (PI);2022;8.186;4.042;49,38%;4.144;50,62%;11,6%;parda;baixo
São João do Piauí (PI);2022;21.421;10.926;51,01%;10.495;48,99%;9,6%;parda;baixo
São José do Divino (PI);2022;4.841;2.393;49,43%;2.448;50,57%;-6%;parda;baixo
São José do Peixe (PI);2022;3.297;1.653;50,14%;1.644;49,86%;-10,9%;parda;baixo
São José do Piauí (PI);2022;6.597;3.309;50,16%;3.288;49,84%;0,1%;branca;baixo
São Julião (PI);2022;6.025;3.067;50,9%;2.958;49,1%;6,2%;parda;baixo
São Lourenço do Piauí (PI);2022;4.410;2.159;48,96%;2.251;51,04%;-0,4%;parda;baixo
São Luis do Piauí (PI);2022;2.309;1.188;51,45%;1.121;48,55%;-9,8%;parda;baixo
São Miguel da Baixa Grande (PI);2022;2.269;1.141;50,29%;1.128;49,71%;7,5%;parda;baixo
São Miguel do Fidalgo (PI);2022;2.829;1.352;47,79%;1.477;52,21%;-4,9%;parda;baixo
São Miguel do Tapuio (PI);2022;17.554;8.706;49,6%;8.848;50,4%;-3,2%;parda;baixo
São Pedro do Piauí (PI);2022;13.755;6.986;50,79%;6.769;49,21%;0,9%;parda;baixo
São Raimundo Nonato (PI);2022;38.934;19.753;50,73%;19.181;49,27%;20,4%;parda;baixo
Sebastião Barros (PI);2022;3.202;1.511;47,19%;1.691;52,81%;-10,1%;parda;baixo
Sebastião Leal (PI);2022;4.446;2.147;48,29%;2.299;51,71%;8%;parda;baixo
Sigefredo Pacheco (PI);2022;9.460;4.548;48,08%;4.912;51,92%;-1,7%;parda;baixo
Simões (PI);2022;14.350;7.181;50,04%;7.169;49,96%;1,2%;parda;baixo
Simplício Mendes (PI);2022;13.870;6.903;49,77%;6.967;50,23%;14,8%;parda;baixo
Socorro do Piauí (PI);2022;4.141;2.046;49,41%;2.095;50,59%;-8,4%;parda;baixo
Sussuapara (PI);2022;6.220;3.125;50,24%;3.095;49,76%;-0,1%;parda;baixo
Tamboril do Piauí (PI);2022;2.949;1.437;48,73%;1.512;51,27%;7,1%;parda;baixo
Tanque do Piauí (PI);2022;2.316;1.186;51,21%;1.130;48,79%;-11,6%;parda;baixo
Teresina (PI);2022;866.300;460.766;53,19%;405.534;46,81%;6,4%;parda;grande
União (PI);2022;46.119;23.198;50,3%;22.921;49,7%;8,1%;parda;baixo
Uruçuí (PI);2022;25.203;12.703;50,4%;12.500;49,6%;25,1%;parda;baixo
Valença do Piauí (PI);2022;22.279;11.644;52,26%;10.635;47,74%;9,6%;parda;baixo
Várzea Branca (PI);2022;5.055;2.490;49,26%;2.565;50,74%;2,9%;parda;baixo
Várzea Grande (PI);2022;4.417;2.269;51,37%;2.148;48,63%;1,9%;parda;baixo
Vera Mendes (PI);2022;3.185;1.597;50,14%;1.588;49,86%;6,7%;parda;baixo
Vila Nova do Piauí (PI);2022;2.935;1.446;49,27%;1.489;50,73%;-4,6%;parda;baixo
Wall Ferraz (PI);2022;4.059;2.029;49,99%;2.030;50,01%;-5,2%;parda;baixo
Acari (RN);2022;10.597;5.486;51,77%;5.111;48,23%;-4%;branca;baixo
Açu (RN);2022;56.496;29.026;51,38%;27.470;48,62%;6,1%;parda;médio
Afonso Bezerra (RN);2022;10.839;5.383;49,66%;5.456;50,34%;0%;parda;baixo
Água Nova (RN);2022;2.946;1.504;51,05%;1.442;48,95%;-1,1%;branca;baixo
Alexandria (RN);2022;13.640;6.977;51,15%;6.663;48,85%;1%;parda;baixo
Almino Afonso (RN);2022;4.687;2.354;50,22%;2.333;49,78%;-3,8%;branca;baixo
Alto do Rodrigues (RN);2022;12.484;6.398;51,25%;6.086;48,75%;1,5%;parda;baixo
Angicos (RN);2022;11.632;6.011;51,68%;5.621;48,32%;0,7%;parda;baixo
Antônio Martins (RN);2022;6.577;3.317;50,43%;3.260;49,57%;-4,8%;branca;baixo
Apodi (RN);2022;36.093;18.286;50,66%;17.807;49,34%;3,8%;parda;baixo
Areia Branca (RN);2022;24.093;12.436;51,62%;11.657;48,38%;-4,8%;parda;baixo
Arês (RN);2022;13.251;6.724;50,74%;6.527;49,26%;2,5%;parda;baixo
Augusto Severo (RN);2022;9.730;4.782;49,15%;4.948;50,85%;4,7%;parda;baixo
Baía Formosa (RN);2022;8.825;4.334;49,11%;4.491;50,89%;2,9%;parda;baixo
Baraúna (RN);2022;26.913;13.403;49,8%;13.510;50,2%;11,3%;parda;baixo
Barcelona (RN);2022;3.986;2.016;50,58%;1.970;49,42%;0,9%;parda;baixo
Bento Fernandes (RN);2022;4.807;2.413;50,2%;2.394;49,8%;-6%;parda;baixo
Bodó (RN);2022;2.306;1.143;49,57%;1.163;50,43%;-4,9%;parda;baixo
Bom Jesus (RN);2022;9.952;5.167;51,92%;4.785;48,08%;5,4%;parda;baixo
Brejinho (RN);2022;12.202;6.216;50,94%;5.986;49,06%;5,4%;parda;baixo
Caiçara do Norte (RN);2022;6.293;3.076;48,88%;3.217;51,12%;4,6%;parda;baixo
Caiçara do Rio do Vento (RN);2022;3.268;1.625;49,72%;1.643;50,28%;-1,2%;parda;baixo
Caicó (RN);2022;61.146;32.052;52,42%;29.094;47,58%;-2,5%;branca;médio
Campo Redondo (RN);2022;10.215;5.198;50,89%;5.017;49,11%;-0,5%;parda;baixo
Canguaretama (RN);2022;29.668;15.158;51,09%;14.510;48,91%;-4%;parda;baixo
Caraúbas (RN);2022;19.727;10.099;51,19%;9.628;48,81%;0,8%;parda;baixo
Carnaúba dos Dantas (RN);2022;7.992;4.018;50,28%;3.974;49,72%;7,6%;branca;baixo
Carnaubais (RN);2022;9.714;4.829;49,71%;4.885;50,29%;-0,5%;parda;baixo
Ceará-Mirim (RN);2022;79.115;39.845;50,36%;39.270;49,64%;16,1%;parda;médio
Cerro Corá (RN);2022;11.000;5.628;51,16%;5.372;48,84%;0,8%;parda;baixo
Coronel Ezequiel (RN);2022;5.117;2.542;49,68%;2.575;50,32%;-5,3%;parda;baixo
Coronel João Pessoa (RN);2022;4.237;2.103;49,63%;2.134;50,37%;-11,2%;branca;baixo
Cruzeta (RN);2022;8.005;4.084;51,02%;3.921;48,98%;0,5%;branca;baixo
Currais Novos (RN);2022;41.313;21.590;52,26%;19.723;47,74%;-3,1%;branca;baixo
Doutor Severiano (RN);2022;7.044;3.639;51,66%;3.405;48,34%;8,5%;branca;baixo
Parnamirim (RN);2022;252.716;133.525;52,84%;119.191;47,16%;24,8%;branca;grande
Encanto (RN);2022;6.016;3.050;50,7%;2.966;49,3%;15%;branca;baixo
Equador (RN);2022;5.360;2.741;51,14%;2.619;48,86%;-7,9%;branca;baixo
Espírito Santo (RN);2022;10.620;5.226;49,21%;5.394;50,79%;1,4%;parda;baixo
Extremoz (RN);2022;61.635;31.579;51,24%;30.056;48,76%;150,9%;parda;médio
Felipe Guerra (RN);2022;5.944;3.007;50,59%;2.937;49,41%;3,7%;parda;baixo
Fernando Pedroza (RN);2022;2.938;1.422;48,4%;1.516;51,6%;2,9%;parda;baixo
Florânia (RN);2022;10.196;5.101;50,03%;5.095;49,97%;13,8%;branca;baixo
Francisco Dantas (RN);2022;2.700;1.354;50,15%;1.346;49,85%;-6,1%;branca;baixo
Frutuoso Gomes (RN);2022;4.122;2.094;50,8%;2.028;49,2%;-2,6%;parda;baixo
Galinhos (RN);2022;2.104;1.034;49,14%;1.070;50,86%;-2,5%;parda;baixo
Goianinha (RN);2022;26.741;13.632;50,98%;13.109;49,02%;18,9%;parda;baixo
Governador Dix-Sept Rosado (RN);2022;11.938;5.934;49,71%;6.004;50,29%;-3,5%;parda;baixo
Grossos (RN);2022;9.924;5.018;50,56%;4.906;49,44%;5,7%;parda;baixo
Guamaré (RN);2022;15.295;7.788;50,92%;7.507;49,08%;23,3%;parda;baixo
Ielmo Marinho (RN);2022;11.615;5.675;48,86%;5.940;51,14%;-4,6%;parda;baixo
Ipanguaçu (RN);2022;14.131;7.151;50,61%;6.980;49,39%;2%;parda;baixo
Ipueira (RN);2022;2.035;1.040;51,11%;995;48,89%;-2%;parda;baixo
Itajá (RN);2022;7.292;3.639;49,9%;3.653;50,1%;5,2%;parda;baixo
Itaú (RN);2022;5.320;2.739;51,48%;2.581;48,52%;-4,4%;parda;baixo
Jaçanã (RN);2022;7.834;3.947;50,38%;3.887;49,62%;-1,1%;parda;baixo
Jandaíra (RN);2022;6.562;3.251;49,54%;3.311;50,46%;-3,5%;parda;baixo
Janduís (RN);2022;4.746;2.380;50,15%;2.366;49,85%;-11,2%;parda;baixo
Januário Cicco (RN);2022;9.051;4.390;48,5%;4.661;51,5%;0,4%;parda;baixo
Japi (RN);2022;5.117;2.591;50,64%;2.526;49,36%;-7,3%;parda;baixo
Jardim de Angicos (RN);2022;2.437;1.205;49,45%;1.232;50,55%;-6,5%;parda;baixo
Jardim de Piranhas (RN);2022;13.977;7.008;50,14%;6.969;49,86%;3,5%;branca;baixo
Jardim do Seridó (RN);2022;11.655;6.036;51,79%;5.619;48,21%;-3,8%;branca;baixo
João Câmara (RN);2022;33.290;16.718;50,22%;16.572;49,78%;3,3%;parda;baixo
João Dias (RN);2022;2.076;1.043;50,24%;1.033;49,76%;-20,2%;parda;baixo
José da Penha (RN);2022;5.803;2.968;51,15%;2.835;48,85%;-1,1%;branca;baixo
Jucurutu (RN);2022;17.793;8.974;50,44%;8.819;49,56%;0,6%;parda;baixo
Jundiá (RN);2022;3.739;1.837;49,13%;1.902;50,87%;4,4%;parda;baixo
Lagoa d'Anta (RN);2022;6.654;3.294;49,5%;3.360;50,5%;6,9%;parda;baixo
Lagoa de Pedras (RN);2022;7.338;3.667;49,97%;3.671;50,03%;5%;parda;baixo
Lagoa de Velhos (RN);2022;2.567;1.258;49,01%;1.309;50,99%;-3,8%;parda;baixo
Lagoa Nova (RN);2022;15.573;7.961;51,12%;7.612;48,88%;11,4%;parda;baixo
Lagoa Salgada (RN);2022;8.319;4.180;50,25%;4.139;49,75%;10%;parda;baixo
Lajes (RN);2022;9.866;5.010;50,78%;4.856;49,22%;-5%;parda;baixo
Lajes Pintadas (RN);2022;4.787;2.417;50,49%;2.370;49,51%;3,8%;parda;baixo
Lucrécia (RN);2022;3.490;1.766;50,6%;1.724;49,4%;-3,9%;branca;baixo
Luís Gomes (RN);2022;9.070;4.561;50,29%;4.509;49,71%;-5,6%;parda;baixo
Macaíba (RN);2022;82.249;41.983;51,04%;40.266;48,96%;18,4%;parda;médio
Macau (RN);2022;27.369;14.096;51,5%;13.273;48,5%;-5,5%;parda;baixo
Major Sales (RN);2022;3.924;1.980;50,46%;1.944;49,54%;11%;parda;baixo
Marcelino Vieira (RN);2022;7.896;4.013;50,82%;3.883;49,18%;-4,5%;branca;baixo
Martins (RN);2022;8.179;4.188;51,2%;3.991;48,8%;-0,5%;parda;baixo
Maxaranguape (RN);2022;10.255;5.107;49,8%;5.148;50,2%;-1,8%;parda;baixo
Messias Targino (RN);2022;4.274;2.186;51,15%;2.088;48,85%;2,1%;parda;baixo
Montanhas (RN);2022;11.444;5.824;50,89%;5.620;49,11%;0,3%;parda;baixo
Monte Alegre (RN);2022;23.031;11.660;50,63%;11.371;49,37%;11,3%;parda;baixo
Monte das Gameleiras (RN);2022;2.276;1.138;50%;1.138;50%;0,7%;parda;baixo
Mossoró (RN);2022;264.577;138.065;52,18%;126.512;47,82%;1,8%;parda;grande
Natal (RN);2022;751.300;401.965;53,5%;349.335;46,5%;-6,5%;parda;grande
Nísia Floresta (RN);2022;31.942;14.760;46,21%;17.182;53,79%;34,3%;parda;baixo
Nova Cruz (RN);2022;34.269;17.558;51,24%;16.711;48,76%;-3,4%;parda;baixo
Olho d'Água do Borges (RN);2022;3.905;1.971;50,47%;1.934;49,53%;-9,1%;branca;baixo
Ouro Branco (RN);2022;4.913;2.462;50,11%;2.451;49,89%;4,6%;branca;baixo
Paraná (RN);2022;3.934;1.870;47,53%;2.064;52,47%;-0,5%;branca;baixo
Paraú (RN);2022;3.579;1.786;49,9%;1.793;50,1%;-7,3%;parda;baixo
Parazinho (RN);2022;4.801;2.420;50,41%;2.381;49,59%;-0,9%;parda;baixo
Parelhas (RN);2022;21.499;11.121;51,73%;10.378;48,27%;5,6%;branca;baixo
Rio do Fogo (RN);2022;10.351;5.175;50%;5.176;50%;2,9%;parda;baixo
Passa e Fica (RN);2022;10.896;5.553;50,96%;5.343;49,04%;-1,8%;parda;baixo
Passagem (RN);2022;3.115;1.556;49,95%;1.559;50,05%;7,6%;parda;baixo
Patu (RN);2022;11.007;5.695;51,74%;5.312;48,26%;-8%;parda;baixo
Santa Maria (RN);2022;4.847;2.400;49,52%;2.447;50,48%;1,8%;parda;baixo
Pau dos Ferros (RN);2022;30.479;15.790;51,81%;14.689;48,19%;9,9%;branca;baixo
Pedra Grande (RN);2022;3.618;1.789;49,45%;1.829;50,55%;2,8%;parda;baixo
Pedra Preta (RN);2022;2.441;1.186;48,59%;1.255;51,41%;-5,8%;parda;baixo
Pedro Avelino (RN);2022;6.242;3.043;48,75%;3.199;51,25%;-13%;parda;baixo
Pedro Velho (RN);2022;13.824;6.958;50,33%;6.866;49,67%;-2,1%;parda;baixo
Pendências (RN);2022;12.278;6.303;51,34%;5.975;48,66%;-8,6%;parda;baixo
Pilões (RN);2022;2.965;1.489;50,22%;1.476;49,78%;-14,1%;parda;baixo
Poço Branco (RN);2022;12.390;6.095;49,19%;6.295;50,81%;-11,2%;parda;baixo
Portalegre (RN);2022;7.601;3.913;51,48%;3.688;48,52%;3,8%;branca;baixo
Porto do Mangue (RN);2022;5.228;2.561;48,99%;2.667;51,01%;0,2%;parda;baixo
Serra Caiada (RN);2022;10.125;5.040;49,78%;5.085;50,22%;15,5%;parda;baixo
Pureza (RN);2022;9.362;4.620;49,35%;4.742;50,65%;11,1%;parda;baixo
Rafael Fernandes (RN);2022;5.432;2.681;49,36%;2.751;50,64%;15,8%;branca;baixo
Rafael Godeiro (RN);2022;2.934;1.474;50,24%;1.460;49,76%;-4,2%;branca;baixo
Riacho da Cruz (RN);2022;2.701;1.358;50,28%;1.343;49,72%;-14,7%;parda;baixo
Riacho de Santana (RN);2022;4.127;2.029;49,16%;2.098;50,84%;-0,7%;branca;baixo
Riachuelo (RN);2022;7.389;3.678;49,78%;3.711;50,22%;4,6%;parda;baixo
Rodolfo Fernandes (RN);2022;4.242;2.152;50,73%;2.090;49,27%;-4%;parda;baixo
Tibau (RN);2022;5.382;2.647;49,18%;2.735;50,82%;46%;parda;baixo
Ruy Barbosa (RN);2022;3.206;1.565;48,81%;1.641;51,19%;-10,8%;parda;baixo
Santa Cruz (RN);2022;37.313;19.507;52,28%;17.806;47,72%;4,2%;parda;baixo
Santana do Matos (RN);2022;12.456;6.227;49,99%;6.229;50,01%;-9,8%;parda;baixo
Santana do Seridó (RN);2022;2.696;1.343;49,81%;1.353;50,19%;6,7%;branca;baixo
Santo Antônio (RN);2022;22.177;11.113;50,11%;11.064;49,89%;-0,2%;parda;baixo
São Bento do Norte (RN);2022;3.304;1.600;48,43%;1.704;51,57%;11,1%;parda;baixo
São Bento do Trairí (RN);2022;3.792;1.961;51,71%;1.831;48,29%;-2,9%;parda;baixo
São Fernando (RN);2022;3.492;1.745;49,97%;1.747;50,03%;2,7%;branca;baixo
São Francisco do Oeste (RN);2022;4.161;2.103;50,54%;2.058;49,46%;7,4%;branca;baixo
São Gonçalo do Amarante (RN);2022;115.838;59.586;51,44%;56.252;48,56%;32,1%;parda;grande
São João do Sabugi (RN);2022;5.956;3.080;51,71%;2.876;48,29%;0,6%;branca;baixo
São José de Mipibu (RN);2022;47.286;24.033;50,82%;23.253;49,18%;18,9%;parda;baixo
São José do Campestre (RN);2022;11.121;5.639;50,71%;5.482;49,29%;-10%;parda;baixo
São José do Seridó (RN);2022;4.558;2.300;50,46%;2.258;49,54%;7,7%;branca;baixo
São Miguel (RN);2022;23.537;12.141;51,58%;11.396;48,42%;6,2%;branca;baixo
São Miguel do Gostoso (RN);2022;10.221;5.027;49,18%;5.194;50,82%;17,9%;parda;baixo
São Paulo do Potengi (RN);2022;16.786;8.626;51,39%;8.160;48,61%;6%;parda;baixo
São Pedro (RN);2022;5.776;2.921;50,57%;2.855;49,43%;-7,4%;parda;baixo
São Rafael (RN);2022;7.711;3.792;49,18%;3.919;50,82%;-4,9%;branca;baixo
São Tomé (RN);2022;9.972;4.995;50,09%;4.977;49,91%;-7,9%;parda;baixo
São Vicente (RN);2022;6.310;3.171;50,25%;3.139;49,75%;4,7%;branca;baixo
Senador Elói de Souza (RN);2022;5.965;2.954;49,52%;3.011;50,48%;5,8%;parda;baixo
Senador Georgino Avelino (RN);2022;4.065;2.047;50,36%;2.018;49,64%;3,6%;parda;baixo
Serra de São Bento (RN);2022;5.703;2.882;50,53%;2.821;49,47%;-0,7%;parda;baixo
Serra do Mel (RN);2022;13.091;6.453;49,29%;6.638;50,71%;27,3%;parda;baixo
Serra Negra do Norte (RN);2022;7.597;3.785;49,82%;3.812;50,18%;-2,2%;parda;baixo
Serrinha (RN);2022;6.436;3.160;49,1%;3.276;50,9%;-2,2%;parda;baixo
Serrinha dos Pintos (RN);2022;4.659;2.321;49,82%;2.338;50,18%;2,6%;branca;baixo
Severiano Melo (RN);2022;5.487;2.754;50,19%;2.733;49,81%;-4,6%;parda;baixo
Sítio Novo (RN);2022;4.654;2.305;49,53%;2.349;50,47%;-7,3%;parda;baixo
Taboleiro Grande (RN);2022;2.338;1.196;51,15%;1.142;48,85%;0,9%;parda;baixo
Taipu (RN);2022;11.422;5.643;49,4%;5.779;50,6%;-3,5%;parda;baixo
Tangará (RN);2022;13.281;6.747;50,8%;6.534;49,2%;-6,3%;parda;baixo
Tenente Ananias (RN);2022;10.262;5.160;50,28%;5.102;49,72%;3,8%;parda;baixo
Tenente Laurentino Cruz (RN);2022;5.891;2.974;50,48%;2.917;49,52%;9%;parda;baixo
Tibau do Sul (RN);2022;16.929;8.600;50,8%;8.329;49,2%;48,7%;parda;baixo
Timbaúba dos Batistas (RN);2022;2.348;1.204;51,28%;1.144;48,72%;2,3%;branca;baixo
Touros (RN);2022;33.035;16.333;49,44%;16.702;50,56%;6,3%;parda;baixo
Triunfo Potiguar (RN);2022;3.376;1.672;49,53%;1.704;50,47%;0,2%;parda;baixo
Umarizal (RN);2022;10.078;5.196;51,56%;4.882;48,44%;-5,5%;parda;baixo
Upanema (RN);2022;13.577;6.673;49,15%;6.904;50,85%;4,5%;parda;baixo
Várzea (RN);2022;5.233;2.611;49,89%;2.622;50,11%;-0,1%;parda;baixo
Venha-Ver (RN);2022;3.014;1.504;49,9%;1.510;50,1%;-21,1%;branca;baixo
Vera Cruz (RN);2022;10.735;5.415;50,44%;5.320;49,56%;0,1%;parda;baixo
Viçosa (RN);2022;1.822;924;50,71%;898;49,29%;12,6%;parda;baixo
Vila Flor (RN);2022;3.174;1.568;49,4%;1.606;50,6%;10,5%;parda;baixo
Amparo do São Francisco (SE);2022;2.170;1.084;49,95%;1.086;50,05%;-4,6%;parda;baixo
Aquidabã (SE);2022;20.131;10.296;51,15%;9.835;48,85%;0,4%;parda;baixo
Aracaju (SE);2022;602.757;326.155;54,11%;276.602;45,89%;5,5%;parda;grande
Arauá (SE);2022;10.318;5.281;51,18%;5.037;48,82%;-5,1%;parda;baixo
Areia Branca (SE);2022;18.081;8.959;49,55%;9.122;50,45%;7,3%;parda;baixo
Barra dos Coqueiros (SE);2022;41.511;21.639;52,13%;19.872;47,87%;66,2%;parda;baixo
Boquim (SE);2022;24.636;12.729;51,67%;11.907;48,33%;-3,5%;parda;baixo
Brejo Grande (SE);2022;7.841;3.867;49,32%;3.974;50,68%;1,3%;parda;baixo
Campo do Brito (SE);2022;18.149;9.404;51,82%;8.745;48,18%;8,4%;parda;baixo
Canhoba (SE);2022;3.791;1.834;48,38%;1.957;51,62%;-4,2%;parda;baixo
Canindé de São Francisco (SE);2022;26.834;13.774;51,33%;13.060;48,67%;8,7%;parda;baixo
Capela (SE);2022;31.645;16.387;51,78%;15.258;48,22%;2,9%;parda;baixo
Carira (SE);2022;19.939;10.152;50,92%;9.787;49,08%;-0,3%;parda;baixo
Carmópolis (SE);2022;13.853;7.248;52,32%;6.605;47,68%;2,6%;parda;baixo
Cedro de São João (SE);2022;5.391;2.762;51,23%;2.629;48,77%;-4,3%;parda;baixo
Cristinápolis (SE);2022;17.100;8.659;50,64%;8.441;49,36%;3,5%;parda;baixo
Cumbe (SE);2022;3.824;1.950;50,99%;1.874;49,01%;0,3%;parda;baixo
Divina Pastora (SE);2022;4.340;2.183;50,3%;2.157;49,7%;0,3%;parda;baixo
Estância (SE);2022;65.078;33.987;52,23%;31.091;47,77%;1%;parda;médio
Feira Nova (SE);2022;5.975;3.062;51,25%;2.913;48,75%;12,2%;parda;baixo
Frei Paulo (SE);2022;14.530;7.521;51,76%;7.009;48,24%;4,7%;parda;baixo
