city;educacao.ensino_fundamental_incompleto;educacao.ensino_fundamental_completo;educacao.ensino_medio_completo;educacao.ensino_superior_completo;educacao.alfabetizados;educacao.analfabetos
Cedro (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Chã de Alegria (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Chã Grande (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Condado (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Correntes (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cortês (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cumaru (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cupira (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Custódia (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dormentes (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Escada (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Exu (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Feira Nova (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fernando de Noronha (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ferreiros (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Flores (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Floresta (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Frei Miguelinho (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gameleira (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Garanhuns (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Glória do Goitá (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Goiana (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Granito (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gravatá (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Iati (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibimirim (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibirajuba (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Igarassu (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Iguaracy (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Inajá (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ingazeira (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipojuca (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipubi (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itacuruba (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaíba (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ilha de Itamaracá (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itambé (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapetim (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapissuma (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaquitinga (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaboatão dos Guararapes (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaqueira (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jataúba (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jatobá (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
João Alfredo (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Joaquim Nabuco (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jucati (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jupi (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jurema (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa do Carro (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa de Itaenga (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa do Ouro (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa dos Gatos (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa Grande (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lajedo (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Limoeiro (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Macaparana (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Machados (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Manari (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maraial (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mirandiba (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Moreno (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nazaré da Mata (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olinda (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Orobó (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Orocó (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ouricuri (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palmares (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palmeirina (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Panelas (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paranatama (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Parnamirim (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Passira (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paudalho (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paulista (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedra (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pesqueira (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Petrolândia (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Petrolina (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poção (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pombos (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Primavera (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quipapá (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quixaba (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Recife (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riacho das Almas (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ribeirão (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio Formoso (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sairé (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Salgadinho (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Salgueiro (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Saloá (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sanharó (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cruz (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cruz da Baixa Verde (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cruz do Capibaribe (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Filomena (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Maria da Boa Vista (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Maria do Cambucá (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Terezinha (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Benedito do Sul (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Bento do Una (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Caitano (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Joaquim do Monte (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José da Coroa Grande (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Belmonte (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Egito (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Lourenço da Mata (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Vicente Férrer (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra Talhada (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serrita (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sertânia (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sirinhaém (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Moreilândia (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Solidão (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Surubim (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tabira (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tacaimbó (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tacaratu (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tamandaré (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Taquaritinga do Norte (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Terezinha (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Terra Nova (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Timbaúba (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Toritama (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tracunhaém (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Trindade (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Triunfo (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tupanatinga (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tuparetama (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Venturosa (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Verdejante (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vertente do Lério (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vertentes (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vicência (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vitória de Santo Antão (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Xexéu (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Acauã (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Agricolândia (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Água Branca (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alagoinha do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alegrete do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alto Longá (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Altos (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alvorada do Gurguéia (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Amarante (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Angical do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Anísio de Abreu (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Antônio Almeida (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aroazes (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aroeiras do Itaim (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arraial (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Assunção do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Avelino Lopes (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Baixa Grande do Ribeiro (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra D'Alcântara (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barras (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barreiras do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barro Duro (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Batalha (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bela Vista do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belém do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Beneditinos (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bertolínia (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Betânia do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boa Hora (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bocaina (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Jesus (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Princípio do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bonfim do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boqueirão do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brasileira (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejo do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buriti dos Lopes (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buriti dos Montes (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cabeceiras do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cajazeiras do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cajueiro da Praia (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caldeirão Grande do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campinas do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo Alegre do Fidalgo (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo Grande do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo Largo do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo Maior (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canavieira (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canto do Buriti (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capitão de Campos (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capitão Gervásio Oliveira (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caracol (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caraúbas do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caridade do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Castelo do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caxingó (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cocal (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cocal de Telha (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cocal dos Alves (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coivaras (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Colônia do Gurguéia (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Colônia do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Conceição do Canindé (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coronel José Dias (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Corrente (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cristalândia do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cristino Castro (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Curimatá (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Currais (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Curralinhos (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Curral Novo do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Demerval Lobão (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dirceu Arcoverde (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dom Expedito Lopes (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Domingos Mourão (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dom Inocêncio (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Elesbão Veloso (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Eliseu Martins (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Esperantina (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fartura do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Flores do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Floresta do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Floriano (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Francinópolis (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Francisco Ayres (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Francisco Macedo (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Francisco Santos (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fronteiras (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Geminiano (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gilbués (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guadalupe (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guaribas (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Hugo Napoleão (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ilha Grande (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Inhuma (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipiranga do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Isaías Coelho (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itainópolis (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaueira (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jacobina do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaicós (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jardim do Mulato (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jatobá do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jerumenha (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
João Costa (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Joaquim Pires (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Joca Marques (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
José de Freitas (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Juazeiro do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Júlio Borges (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jurema (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoinha do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa Alegre (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa do Barro do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa de São Francisco (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa do Sítio (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Landri Sales (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Luís Correia (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Luzilândia (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Madeiro (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Manoel Emídio (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Marcolândia (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Marcos Parente (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Massapê do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Matias Olímpio (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Miguel Alves (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Miguel Leão (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Milton Brandão (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monsenhor Gil (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monsenhor Hipólito (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monte Alegre do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Morro Cabeça no Tempo (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Morro do Chapéu do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Murici dos Portelas (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nazaré do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nazária (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nossa Senhora de Nazaré (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nossa Senhora dos Remédios (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Novo Oriente do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Novo Santo Antônio (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Oeiras (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olho D'Água do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Padre Marcos (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paes Landim (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pajeú do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palmeira do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palmeirais (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paquetá (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Parnaguá (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Parnaíba (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Passagem Franca do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Patos do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pau D'Arco do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paulistana (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pavussu (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedro II (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedro Laurentino (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Santa Rita (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Picos (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pimenteiras (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pio IX (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Piracuruca (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Piripiri (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porto (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porto Alegre do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Prata do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Queimada Nova (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Redenção do Gurguéia (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Regeneração (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riacho Frio (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ribeira do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ribeiro Gonçalves (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio Grande do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cruz do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cruz dos Milagres (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Filomena (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Luz (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Rosa do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Antônio de Lisboa (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Antônio dos Milagres (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Inácio do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Braz do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Félix do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Francisco de Assis do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Francisco do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Gonçalo do Gurguéia (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Gonçalo do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João da Canabrava (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João da Fronteira (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João da Serra (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João da Varjota (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Arraial (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Divino (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Peixe (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Julião (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Lourenço do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Luis do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Miguel da Baixa Grande (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Miguel do Fidalgo (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Miguel do Tapuio (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Pedro do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Raimundo Nonato (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sebastião Barros (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sebastião Leal (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sigefredo Pacheco (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Simões (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Simplício Mendes (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Socorro do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sussuapara (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tamboril do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tanque do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Teresina (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
União (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Uruçuí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Valença do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Várzea Branca (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Várzea Grande (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vera Mendes (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vila Nova do Piauí (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
Wall Ferraz (PI);32,63%;13,03%;33,49%;20,85%;92%;26.939
